dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH43_e53	GH43_1:1254|GH43_10:16|GH5_21:6|CBM6:5|GH43:4|GH10:3|GH43_33:2|GH43_32:2|GH43_34:1|GH43_29:1|GH117:1	3.2.1.37:19|3.2.1.55:4	xylan, xylan	310	SlurieCBS93772predictedgene_001298-T1	342	2.1e-138	1	309	5	336	0.993548387097
GH131_e4	GH131:11	-	-	258	SlurieCBS93772predictedgene_001819-T1	288	1.1e-126	1	258	26	284	0.996124031008
GH18_e82	GH18:18	3.2.1.96:4	host glycan	216	SlurieCBS93772predictedgene_003289-T1	396	7.7e-91	1	215	53	281	0.990740740741
CE5_e49	CE5:6	-	-	192	SlurieCBS93772predictedgene_003637-T1	325	3.7e-45	2	191	45	270	0.984375
GH135_e25	GH135:7	-	-	228	SlurieCBS93772predictedgene_003986-T1	301	3.2e-30	1	169	15	196	0.736842105263
GH125_e2	GH125:180	-	-	423	SlurieCBS93772predictedgene_004670-T1	535	4.9e-187	1	423	79	520	0.997635933806
GH88_e4	GH88:37	-	-	401	SlurieCBS93772predictedgene_005493-T1	666	2.1e-79	1	218	104	321	0.54114713217
AA1_e46	AA1_3:109|CBM20:5|AA1:3	1.10.3.2:4|1.10.3.-:1	lignin, lignin	474	SlurieCBS93772predictedgene_005809-T1	608	1.1e-172	1	474	60	545	0.997890295359
GT61_e19	GT61:14	-	-	120	SlurieCBS93772predictedgene_007556-T1	547	6.3e-38	1	116	355	479	0.958333333333
GH125_e2	GH125:180	-	-	423	SmexicCBS120341predictedgene_000352-T1	625	4.5e-58	1	154	95	285	0.36170212766
GH125_e2	GH125:180	-	-	423	SmexicCBS120341predictedgene_000352-T1	625	8.2e-116	142	423	293	611	0.664302600473
GH5_e65	GH5_5:61|CBM1:36	3.2.1.4:20	beta-glucan	290	SmexicCBS120341predictedgene_002735-T1	352	1.3e-138	1	288	30	322	0.989655172414
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	SmexicCBS120341predictedgene_003535-T1	756	8.3e-18	10	180	175	357	0.407673860911
GH3_e51	GH3:223	3.2.1.21:3	beta-glucan	214	SmexicCBS120341predictedgene_004891-T1	863	1.5e-111	1	214	36	249	0.995327102804
GH28_e56	GH28:441|CE8:3	3.2.1.15:14|3.1.1.11:1	pectin	322	SmexicCBS120341predictedgene_005780-T1	372	2.7e-156	1	321	40	360	0.993788819876
GH88_e4	GH88:37	-	-	401	SmexicCBS120341predictedgene_006958-T1	520	4.1e-161	1	401	102	511	0.997506234414
GT90_e11	GT90:72	-	-	290	SmexicCBS120341predictedgene_007756-T1	653	1.3e-121	1	290	345	640	0.996551724138
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	SmexicCBS120341predictedgene_008795-T1	498	8.9e-196	2	397	27	421	0.893665158371
GH5_e56	GH5_24:29	-	-	314	SnigroVPRI43755predictedgene_000630-T1	426	1.7e-168	1	312	77	389	0.990445859873
GH106_e15	GH106:19|GT2:1	-	-	933	SnigroVPRI43755predictedgene_001840-T1	1043	3.3e-249	1	931	35	982	0.996784565916
GH28_e58	GH28:220	3.2.1.67:7|3.2.1.-:2	pectin, pectin	352	SnigroVPRI43755predictedgene_004902-T1	446	5.4e-156	1	351	81	431	0.994318181818
GT31_e37	GT31:25	-	-	54	SnigroVPRI43755predictedgene_005577-T1	455	2.9e-23	1	54	186	239	0.981481481481
GH2_e61	GH2:894|CBM67:5|GH43_34:1|GH42:1	3.2.1.23:12	beta-galactan	827	SnigroVPRI43755predictedgene_005941-T1	1131	7.8e-272	23	822	44	995	0.966142684401
CE16_e2	CE16:12	-	-	278	SpalliCBS13156predictedgene_000166-T1	394	1.7e-107	1	278	59	362	0.996402877698
AA1_e22	AA1:24	-	-	492	SpalliCBS13156predictedgene_000611-T1	743	4.5e-134	82	491	258	694	0.831300813008
GH131_e4	GH131:11	-	-	258	SpalliCBS13156predictedgene_002579-T1	319	3.8e-101	58	258	112	315	0.77519379845
GH3_e116	GH3:66	3.2.1.21:2	beta-glucan	213	SpalliCBS13156predictedgene_002866-T1	892	1.8e-111	2	212	87	297	0.985915492958
GH18_e107	GH18:17	-	-	321	SpalliCBS13156predictedgene_003343-T1	362	4.6e-107	1	318	10	345	0.98753894081
GH154_e10	GH154:86	-	-	357	SpalliCBS13156predictedgene_003541-T1	675	6.8e-173	1	356	26	373	0.994397759104
GH154_e10	GH154:86	-	-	357	SpalliCBS13156predictedgene_004012-T1	726	9.4e-156	1	357	15	404	0.997198879552
CE5_e24	CE5:51|CBM1:13	3.1.1.72:4	xylan	208	SpalliCBS13156predictedgene_004209-T1	246	6.4e-74	1	207	44	244	0.990384615385
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	SpalliCBS13156predictedgene_004446-T1	752	8.6e-18	10	180	175	357	0.407673860911
AA2_e12	AA2:15	-	-	241	SpalliCBS13156predictedgene_006966-T1	501	1.7e-97	2	241	252	488	0.991701244813
AA1_e29	AA1:21	-	-	498	SpalliCBS13156predictedgene_006999-T1	667	3.2e-168	2	498	144	634	0.995983935743
AA1_e46	AA1_3:109|CBM20:5|AA1:3	1.10.3.2:4|1.10.3.-:1	lignin, lignin	474	SpalliCBS13156predictedgene_007317-T1	604	9.9e-168	1	474	54	562	0.997890295359
GT69_e0	GT69:44	-	-	243	SpalliCBS13156predictedgene_007390-T1	431	1.4e-112	1	243	113	355	0.995884773663
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	SpalliCBS13156predictedgene_007437-T1	482	1.8e-140	1	417	41	478	0.997601918465
GH78_e23	GH78:35|CBM67:1|GH79:1	-	-	518	SpalliCBS13156predictedgene_010403-T1	629	2.4e-241	2	517	90	595	0.994208494208
CE8_e16	CE8:16|GH28:3	3.1.1.11:3|3.2.1.15:1	pectin	277	SphasmCBS119721predictedgene_001442-T1	746	3.5e-140	2	276	51	327	0.98916967509
GH28_e56	GH28:441|CE8:3	3.2.1.15:14|3.1.1.11:1	pectin	322	SphasmCBS119721predictedgene_001442-T1	746	5.2e-149	1	320	415	733	0.990683229814
AA4_e1	AA4:19	-	-	525	SphasmCBS119721predictedgene_002483-T1	560	9.9e-17	22	253	101	327	0.44
AA3_e28	AA3_2:42|AA3:1	-	-	565	SphasmCBS119721predictedgene_004702-T1	578	2.4e-277	1	564	8	572	0.996460176991
GH3_e223	GH3:90|CBM1:15|CE16:3	3.2.1.21:16|3.2.1.-:3	beta-glucan, beta-glucan	207	SphasmCBS119721predictedgene_006074-T1	730	1.1e-110	2	207	74	279	0.990338164251
GH5_e137	GH5_5:216|CBM1:84|GH5:14|CBM10:2	3.2.1.4:38	beta-glucan	278	SphasmCBS119721predictedgene_006761-T1	340	1.3e-133	1	278	40	318	0.996402877698
GH5_e65	GH5_5:61|CBM1:36	3.2.1.4:20	beta-glucan	290	SphasmCBS119721predictedgene_006904-T1	345	6.1e-130	1	288	30	318	0.989655172414
GH3_e180	GH3:184	3.2.1.21:13	beta-glucan	210	SproteCBS116654predictedgene_000150-T1	885	3.4e-106	1	210	94	306	0.995238095238
GH47_e5	GH47:259	3.2.1.113:7	host glycan	482	SproteCBS116654predictedgene_001141-T1	605	1.6e-68	1	179	121	296	0.369294605809
GH47_e5	GH47:259	3.2.1.113:7	host glycan	482	SproteCBS116654predictedgene_001141-T1	605	1.6e-113	200	482	293	594	0.585062240664
GH92_e35	GH92:160	-	-	510	SproteCBS116654predictedgene_002152-T1	877	7.4e-190	1	413	335	784	0.807843137255
GH55_e8	GH55:191|CBM50:9|CBM66:1	3.2.1.58:16	beta-glucan	748	SproteCBS116654predictedgene_002155-T1	763	0	4	748	22	762	0.994652406417
GH76_e44	GH76:127	3.2.1.101:2	alpha-mannan	363	SproteCBS116654predictedgene_002227-T1	460	2.4e-178	1	360	30	399	0.988980716253
GH31_e31	GH31:4050	3.2.1.177:12	xyloglucan	431	SproteCBS116654predictedgene_002352-T1	772	8.7e-209	1	430	244	684	0.99535962877
GH135_e21	GH135:9	-	-	246	SproteCBS116654predictedgene_004631-T1	291	2.6e-23	1	106	21	144	0.426829268293
AA9_e5	AA9:14|CBM18:11	-	cellulose	221	SproteCBS116654predictedgene_005085-T1	398	9.6e-96	3	220	12	230	0.981900452489
GH43_e53	GH43_1:1254|GH43_10:16|GH5_21:6|CBM6:5|GH43:4|GH10:3|GH43_33:2|GH43_32:2|GH43_34:1|GH43_29:1|GH117:1	3.2.1.37:19|3.2.1.55:4	xylan, xylan	310	SproteCBS116654predictedgene_005343-T1	317	8.4e-77	1	191	5	217	0.612903225806
GH43_e285	GH43_11:2705|GH43:7|GH43_12:2	3.2.1.37:21|3.2.1.55:3|3.2.1.-:1	xylan, xylan, xylan	292	SproteCBS116654predictedgene_005709-T1	586	3.6e-138	1	292	5	309	0.996575342466
CBM91_e24	CBM91:3225|GH43_11:3213|GH43_12:1|GH43:1	-	xylan	200	SproteCBS116654predictedgene_005709-T1	586	1.9e-53	7	199	362	576	0.96
GH47_e16	GH47:103	3.2.1.113:12	host glycan	465	SproteCBS116654predictedgene_005964-T1	527	2e-203	1	464	38	502	0.995698924731
GH18_e272	GH18:958|CBM50:6	3.2.1.14:58	chitin	351	SproteCBS116654predictedgene_006650-T1	430	2.7e-171	1	351	44	396	0.997150997151
GH3_e180	GH3:184	3.2.1.21:13	beta-glucan	210	SproteCBS116654predictedgene_007919-T1	991	4e-108	2	210	179	392	0.990476190476
GT61_e19	GT61:14	-	-	120	SproteCBS116654predictedgene_008482-T1	359	9.3e-43	1	117	134	255	0.966666666667
CE5_e49	CE5:6	-	-	192	SpseudVPRI43531predictedgene_000103-T1	336	5e-43	15	191	73	274	0.916666666667
GH125_e2	GH125:180	-	-	423	SpseudVPRI43531predictedgene_004462-T1	535	8.8e-187	1	423	79	520	0.997635933806
GH3_e51	GH3:223	3.2.1.21:3	beta-glucan	214	SpseudVPRI43531predictedgene_004562-T1	875	3.8e-109	1	214	44	259	0.995327102804
GH18_e272	GH18:958|CBM50:6	3.2.1.14:58	chitin	351	SpseudVPRI43531predictedgene_004936-T1	459	8.7e-124	4	351	81	424	0.988603988604
GH16_e200	GH16_18:28	-	-	156	SpseudVPRI43531predictedgene_006376-T1	374	2.7e-72	1	156	70	226	0.99358974359
GH88_e4	GH88:37	-	-	401	Sschen1099predictedgene_001481-T1	525	6.6e-157	1	401	105	516	0.997506234414
GH125_e2	GH125:180	-	-	423	Sschen1099predictedgene_002829-T1	614	1.2e-59	1	152	107	273	0.356973995272
GH125_e2	GH125:180	-	-	423	Sschen1099predictedgene_002829-T1	614	2.7e-113	143	423	286	600	0.661938534279
GT90_e11	GT90:72	-	-	290	Sschen1099predictedgene_003104-T1	679	1e-121	2	290	357	665	0.993103448276
AA1_e46	AA1_3:109|CBM20:5|AA1:3	1.10.3.2:4|1.10.3.-:1	lignin, lignin	474	Sschen1099predictedgene_003466-T1	620	6.4e-164	1	473	57	578	0.995780590717
GH131_e4	GH131:11	-	-	258	Sschen1099predictedgene_003768-T1	257	1.9e-116	26	258	20	253	0.899224806202
CE8_e16	CE8:16|GH28:3	3.1.1.11:3|3.2.1.15:1	pectin	277	Sschen1099predictedgene_003863-T1	736	5.6e-144	2	276	51	327	0.98916967509
GH28_e56	GH28:441|CE8:3	3.2.1.15:14|3.1.1.11:1	pectin	322	Sschen1099predictedgene_003863-T1	736	3e-152	1	320	405	723	0.990683229814
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	Sschen1099predictedgene_006383-T1	478	1.1e-192	2	442	31	477	0.995475113122
GH18_e82	GH18:18	3.2.1.96:4	host glycan	216	Sschen1099predictedgene_006460-T1	392	9.6e-92	1	215	52	277	0.990740740741
CBM50_e516	CBM50:10|GH18:1	-	chitin, peptidoglycan	34	Sschen1099predictedgene_008548-T1	678	5.7e-16	1	34	633	667	0.970588235294
GH5_e65	GH5_5:61|CBM1:36	3.2.1.4:20	beta-glucan	290	Sschen1099predictedgene_008551-T1	345	1.6e-128	1	288	30	318	0.989655172414
GH154_e10	GH154:86	-	-	357	SvarieCBS121961predictedgene_001422-T1	718	1.7e-156	1	357	15	408	0.997198879552
CE16_e2	CE16:12	-	-	278	SvarieCBS121961predictedgene_002498-T1	379	6.5e-99	1	277	54	356	0.992805755396
GH3_e116	GH3:66	3.2.1.21:2	beta-glucan	213	SvarieCBS121961predictedgene_002788-T1	868	2.1e-86	51	212	112	273	0.755868544601
GH5_e56	GH5_24:29	-	-	314	SvarieCBS121961predictedgene_003091-T1	428	5.7e-170	1	313	77	392	0.993630573248
AA1_e46	AA1_3:109|CBM20:5|AA1:3	1.10.3.2:4|1.10.3.-:1	lignin, lignin	474	SvarieCBS121961predictedgene_004740-T1	605	8e-170	1	474	55	563	0.997890295359
GH154_e10	GH154:86	-	-	357	SvarieCBS121961predictedgene_005486-T1	675	1.7e-172	1	356	26	373	0.994397759104
GH18_e107	GH18:17	-	-	321	SvarieCBS121961predictedgene_005972-T1	360	2.2e-106	1	319	10	342	0.990654205607
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	SvarieCBS121961predictedgene_006138-T1	482	3.9e-140	1	417	41	478	0.997601918465
AA1_e22	AA1:24	-	-	492	SvarieCBS121961predictedgene_006558-T1	759	1e-186	1	491	199	713	0.99593495935
GT31_e37	GT31:25	-	-	54	SvarieCBS121961predictedgene_006651-T1	473	8.2e-24	1	54	191	244	0.981481481481
AA2_e12	AA2:15	-	-	241	SvarieCBS121961predictedgene_006955-T1	477	1.7e-96	2	241	228	464	0.991701244813
CE5_e24	CE5:51|CBM1:13	3.1.1.72:4	xylan	208	SvarieCBS121961predictedgene_007473-T1	257	3.5e-74	1	207	55	255	0.990384615385
AA1_e29	AA1:21	-	-	498	SvarieCBS121961predictedgene_007748-T1	684	7.9e-167	2	498	150	643	0.995983935743
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	SvarieCBS121961predictedgene_007836-T1	500	2.2e-157	3	441	30	496	0.990950226244
AA3_e28	AA3_2:42|AA3:1	-	-	565	SvarieCBS121961predictedgene_008493-T1	579	6.6e-290	1	565	9	573	0.998230088496
GH106_e15	GH106:19|GT2:1	-	-	933	SvarieCBS121961predictedgene_008569-T1	1042	1.3e-263	1	931	48	986	0.996784565916
GH3_e51	GH3:223	3.2.1.21:3	beta-glucan	214	SvarieCBS121961predictedgene_009489-T1	869	8e-107	1	214	50	263	0.995327102804
AA3_e28	AA3_2:42|AA3:1	-	-	565	SBRCBS47491_000636-T1	592	3.8e-299	1	564	10	574	0.996460176991
GT90_e11	GT90:72	-	-	290	SBRCBS47491_000682-T1	674	4.3e-121	1	290	347	655	0.996551724138
CE8_e16	CE8:16|GH28:3	3.1.1.11:3|3.2.1.15:1	pectin	277	SBRCBS47491_002193-T1	379	1.8e-102	4	276	64	354	0.981949458484
GH125_e2	GH125:180	-	-	423	SBRCBS47491_002850-T1	604	1.4e-60	1	154	91	255	0.36170212766
GH125_e2	GH125:180	-	-	423	SBRCBS47491_002850-T1	604	1.1e-113	141	423	260	590	0.666666666667
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	SBRCBS47491_008446-T1	495	9.9e-159	3	441	22	490	0.990950226244
CE16_e2	CE16:12	-	-	278	SCUCBS95973_000655-T1	401	3.5e-105	1	278	58	355	0.996402877698
GH28_e58	GH28:220	3.2.1.67:7|3.2.1.-:2	pectin, pectin	352	SCUCBS95973_000695-T1	442	1.7e-158	1	351	77	427	0.994318181818
GT69_e0	GT69:44	-	-	243	SCUCBS95973_001208-T1	426	1.6e-115	1	243	112	352	0.995884773663
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	SCUCBS95973_001917-T1	493	3.4e-177	2	442	41	480	0.995475113122
GH154_e10	GH154:86	-	-	357	SCUCBS95973_002174-T1	751	1.6e-156	1	357	15	405	0.997198879552
GT61_e19	GT61:14	-	-	120	SCUCBS95973_002377-T1	418	6.5e-40	1	117	194	315	0.966666666667
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	SCUCBS95973_002433-T1	480	3.5e-143	1	417	41	476	0.997601918465
AA1_e29	AA1:21	-	-	498	SCUCBS95973_003071-T1	604	1.1e-160	2	498	69	570	0.995983935743
GH3_e116	GH3:66	3.2.1.21:2	beta-glucan	213	SCUCBS95973_004264-T1	894	4e-109	2	212	88	298	0.985915492958
GH154_e10	GH154:86	-	-	357	SCUCBS95973_005491-T1	684	3.3e-171	1	356	26	373	0.994397759104
AA2_e12	AA2:15	-	-	241	SCUCBS95973_007384-T1	408	2.5e-95	6	240	164	394	0.970954356846
GH2_e61	GH2:894|CBM67:5|GH43_34:1|GH42:1	3.2.1.23:12	beta-galactan	827	SCUCBS95973_007724-T1	1120	4.6e-274	23	823	44	990	0.967351874244
AA1_e22	AA1:24	-	-	492	SCUCBS95973_008050-T1	770	9.8e-189	1	491	214	726	0.99593495935
GH5_e65	GH5_5:61|CBM1:36	3.2.1.4:20	beta-glucan	290	SCUCBS95973_008114-T1	306	3.7e-121	29	288	11	267	0.893103448276
GH18_e20	GH18:235|GT1:1	3.2.1.14:25	chitin	353	SEUCBS139899_000235-T1	469	7.4e-116	16	351	98	432	0.949008498584
GH131_e4	GH131:11	-	-	258	SEUCBS139899_001029-T1	318	2.2e-103	54	258	109	314	0.790697674419
GH18_e272	GH18:958|CBM50:6	3.2.1.14:58	chitin	351	SEUCBS139899_002862-T1	421	1.7e-175	1	351	34	386	0.997150997151
GH43_e285	GH43_11:2705|GH43:7|GH43_12:2	3.2.1.37:21|3.2.1.55:3|3.2.1.-:1	xylan, xylan, xylan	292	SEUCBS139899_002936-T1	587	1.1e-136	1	292	5	309	0.996575342466
CBM91_e24	CBM91:3225|GH43_11:3213|GH43_12:1|GH43:1	-	xylan	200	SEUCBS139899_002936-T1	587	5.1e-52	7	199	362	577	0.96
CE8_e16	CE8:16|GH28:3	3.1.1.11:3|3.2.1.15:1	pectin	277	SEUCBS139899_003029-T1	735	1.1e-143	2	276	51	329	0.98916967509
GH28_e56	GH28:441|CE8:3	3.2.1.15:14|3.1.1.11:1	pectin	322	SEUCBS139899_003029-T1	735	1.2e-157	1	321	403	723	0.993788819876
GH76_e44	GH76:127	3.2.1.101:2	alpha-mannan	363	SEUCBS139899_003896-T1	460	2.1e-178	2	359	31	398	0.98347107438
GH47_e16	GH47:103	3.2.1.113:12	host glycan	465	SEUCBS139899_004172-T1	530	1.1e-219	1	463	47	522	0.993548387097
AA1_e46	AA1_3:109|CBM20:5|AA1:3	1.10.3.2:4|1.10.3.-:1	lignin, lignin	474	SEUCBS139899_004740-T1	667	1.2e-163	1	473	104	625	0.995780590717
AA9_e5	AA9:14|CBM18:11	-	cellulose	221	SEUCBS139899_005688-T1	399	1.4e-95	3	220	12	234	0.981900452489
GH3_e180	GH3:184	3.2.1.21:13	beta-glucan	210	SEUCBS139899_006829-T1	845	7.2e-94	22	210	77	268	0.895238095238
GH16_e200	GH16_18:28	-	-	156	SEUCBS139899_007078-T1	368	5.1e-72	1	156	70	226	0.99358974359
GH55_e8	GH55:191|CBM50:9|CBM66:1	3.2.1.58:16	beta-glucan	748	SEUCBS139899_007136-T1	783	0	5	748	22	781	0.993315508021
GH3_e180	GH3:184	3.2.1.21:13	beta-glucan	210	SEUCBS139899_007584-T1	989	6.7e-108	2	210	175	388	0.990476190476
GH18_e82	GH18:18	3.2.1.96:4	host glycan	216	SEUCBS140593_000905-T1	392	5.5e-93	1	215	48	279	0.990740740741
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	SEUCBS140593_001334-T1	376	1.3e-163	71	442	1	374	0.839366515837
GT61_e19	GT61:14	-	-	120	SEUCBS140593_002072-T1	553	2e-41	1	117	329	450	0.966666666667
GH125_e2	GH125:180	-	-	423	SEUCBS140593_002432-T1	535	1.7e-185	1	423	79	520	0.997635933806
GH43_e53	GH43_1:1254|GH43_10:16|GH5_21:6|CBM6:5|GH43:4|GH10:3|GH43_33:2|GH43_32:2|GH43_34:1|GH43_29:1|GH117:1	3.2.1.37:19|3.2.1.55:4	xylan, xylan	310	SEUCBS140593_002553-T1	342	1.4e-140	1	309	5	336	0.993548387097
GH3_e51	GH3:223	3.2.1.21:3	beta-glucan	214	SEUCBS140593_003146-T1	865	2.1e-111	1	214	35	248	0.995327102804
GH135_e26	GH135:5	-	-	229	SEUCBS140593_003485-T1	308	1.3e-30	1	167	21	204	0.724890829694
CBM67_e14	CBM67:7|GH78:7	-	rhamnose	186	SEUCBS140593_004515-T1	876	5e-33	32	164	74	209	0.709677419355
GH78_e23	GH78:35|CBM67:1|GH79:1	-	-	518	SEUCBS140593_004515-T1	876	7e-231	2	512	291	804	0.984555984556
CE5_e24	CE5:51|CBM1:13	3.1.1.72:4	xylan	208	SEUCBS140593_007785-T1	224	2.6e-91	1	206	25	221	0.985576923077
GH5_e65	GH5_5:61|CBM1:36	3.2.1.4:20	beta-glucan	290	SEUCBS140593_007844-T1	349	1.1e-147	1	289	29	320	0.993103448276
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	SEUCBS140593_009093-T1	669	6.4e-26	11	181	202	378	0.407673860911
GH88_e4	GH88:37	-	-	401	SEUCBS140593_010268-T1	495	3.4e-159	1	401	93	486	0.997506234414
AA3_e28	AA3_2:42|AA3:1	-	-	565	SEUCBS140593_010326-T1	592	1.8e-298	1	564	10	574	0.996460176991
GH18_e82	GH18:18	3.2.1.96:4	host glycan	216	STHCBS139747_000875-T1	398	3.3e-90	1	215	51	286	0.990740740741
GH125_e2	GH125:180	-	-	423	STHCBS139747_002065-T1	619	2e-61	1	152	91	262	0.356973995272
GH125_e2	GH125:180	-	-	423	STHCBS139747_002065-T1	619	7.3e-114	144	423	281	605	0.659574468085
GT90_e11	GT90:72	-	-	290	STHCBS139747_003388-T1	420	9.8e-67	152	290	268	401	0.475862068966
GH28_e56	GH28:441|CE8:3	3.2.1.15:14|3.1.1.11:1	pectin	322	STHCBS139747_003924-T1	369	8.8e-157	1	321	38	358	0.993788819876
CBM50_e516	CBM50:10|GH18:1	-	chitin, peptidoglycan	34	STHCBS139747_004755-T1	701	7.7e-16	1	34	347	381	0.970588235294
CBM50_e516	CBM50:10|GH18:1	-	chitin, peptidoglycan	34	STHCBS139747_004755-T1	701	7.7e-16	1	34	422	456	0.970588235294
CBM50_e516	CBM50:10|GH18:1	-	chitin, peptidoglycan	34	STHCBS139747_004755-T1	701	4e-16	1	34	504	538	0.970588235294
GH5_e65	GH5_5:61|CBM1:36	3.2.1.4:20	beta-glucan	290	STHCBS139747_004837-T1	583	1.7e-129	1	288	268	556	0.989655172414
GH88_e4	GH88:37	-	-	401	STHCBS139747_006045-T1	545	2.6e-151	1	401	95	536	0.997506234414
CBM50_e516	CBM50:10|GH18:1	-	chitin, peptidoglycan	34	Sbrasi5110predictedgene_001713-T1	606	9.7e-16	1	34	418	452	0.970588235294
CBM50_e516	CBM50:10|GH18:1	-	chitin, peptidoglycan	34	Sbrasi5110predictedgene_001713-T1	606	5e-16	1	34	561	595	0.970588235294
GH131_e4	GH131:11	-	-	258	Sbrasi5110predictedgene_002353-T1	288	5e-127	1	258	26	284	0.996124031008
AA1_e46	AA1_3:109|CBM20:5|AA1:3	1.10.3.2:4|1.10.3.-:1	lignin, lignin	474	Sbrasi5110predictedgene_002723-T1	599	1.6e-159	1	474	55	557	0.997890295359
GT31_e37	GT31:25	-	-	54	Sbrasi5110predictedgene_003081-T1	460	1.5e-23	1	54	187	240	0.981481481481
CE5_e24	CE5:51|CBM1:13	3.1.1.72:4	xylan	208	Sbrasi5110predictedgene_004239-T1	220	1.2e-91	1	206	22	218	0.985576923077
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	Sbrasi5110predictedgene_005507-T1	716	3.5e-17	10	190	162	366	0.431654676259
GH18_e107	GH18:17	-	-	321	Sbrasi5110predictedgene_006558-T1	362	1.7e-104	1	319	10	346	0.990654205607
GH5_e56	GH5_24:29	-	-	314	Sbrasi5110predictedgene_007226-T1	428	2.2e-169	1	312	77	391	0.990445859873
GH106_e25	GH106:5	-	-	930	Sbrasi5110predictedgene_007555-T1	1040	2.1e-277	2	930	43	988	0.997849462366
GH78_e23	GH78:35|CBM67:1|GH79:1	-	-	518	Sbrasi5110predictedgene_008530-T1	450	7.5e-133	2	312	117	433	0.598455598456
GH3_e51	GH3:223	3.2.1.21:3	beta-glucan	214	SdimorCBS55374predictedgene_003103-T1	867	8.9e-111	1	214	35	248	0.995327102804
GH47_e5	GH47:259	3.2.1.113:7	host glycan	482	SdimorCBS55374predictedgene_003504-T1	662	3.9e-200	1	482	122	616	0.997925311203
GT71_e16	GT71:38	-	-	235	SdimorCBS55374predictedgene_004611-T1	588	9.5e-94	1	235	218	452	0.995744680851
GH5_e137	GH5_5:216|CBM1:84|GH5:14|CBM10:2	3.2.1.4:38	beta-glucan	278	SdimorCBS55374predictedgene_005622-T1	341	5.7e-138	1	278	41	319	0.996402877698
GH92_e35	GH92:160	-	-	510	SdimorCBS55374predictedgene_007056-T1	899	5.4e-237	1	509	330	876	0.996078431373
AA3_e28	AA3_2:42|AA3:1	-	-	565	SdimorCBS55374predictedgene_008225-T1	578	3.6e-282	1	564	8	572	0.996460176991
GH31_e31	GH31:4050	3.2.1.177:12	xyloglucan	431	SdimorCBS55374predictedgene_008974-T1	791	1.9e-206	1	430	263	703	0.99535962877
GH3_e223	GH3:90|CBM1:15|CE16:3	3.2.1.21:16|3.2.1.-:3	beta-glucan, beta-glucan	207	SdimorCBS55374predictedgene_009232-T1	730	2.4e-110	2	207	74	279	0.990338164251
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	SdimorCBS55374predictedgene_009457-T1	726	6.9e-19	10	195	156	350	0.443645083933
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	SdimorCBS55374predictedgene_009548-T1	485	4.3e-179	2	442	39	478	0.995475113122
CE5_e49	CE5:6	-	-	192	SdimorCBS55374predictedgene_009705-T1	325	1e-48	1	191	43	267	0.989583333333
CE8_e16	CE8:16|GH28:3	3.1.1.11:3|3.2.1.15:1	pectin	277	SeuskaVPRI43754predictedgene_003386-T1	401	9.4e-50	2	113	11	122	0.400722021661
GH28_e56	GH28:441|CE8:3	3.2.1.15:14|3.1.1.11:1	pectin	322	SeuskaVPRI43754predictedgene_003386-T1	401	1.7e-70	126	321	205	389	0.605590062112
GH125_e2	GH125:180	-	-	423	SeuskaVPRI43754predictedgene_004334-T1	611	2.6e-58	1	153	97	272	0.359338061466
GH125_e2	GH125:180	-	-	423	SeuskaVPRI43754predictedgene_004334-T1	611	1.7e-113	144	423	284	597	0.659574468085
GT90_e11	GT90:72	-	-	290	SeuskaVPRI43754predictedgene_007548-T1	683	8.5e-123	1	290	357	669	0.996551724138
GH106_e25	GH106:5	-	-	930	SgloboCBS120340predictedgene_001750-T1	1029	6.3e-267	2	930	42	977	0.997849462366
GT31_e37	GT31:25	-	-	54	SgloboCBS120340predictedgene_003284-T1	460	6.2e-24	1	54	187	240	0.981481481481
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	SgloboCBS120340predictedgene_004199-T1	718	3.5e-16	10	181	162	354	0.410071942446
GH28_e58	GH28:220	3.2.1.67:7|3.2.1.-:2	pectin, pectin	352	SgloboCBS120340predictedgene_004605-T1	456	1.6e-154	1	351	91	441	0.994318181818
